__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778157002.472395,,,,1778157002.472272396,0.726643575,-0.821665051,-0.818427442,-0.335973188
1778157002.473247,-6.060400519,-0.163644199,0.000000000,,,,,
1778157002.473299,,,,1778157002.473189116,0.725925101,-0.826930594,-0.818719474,-0.336115369
1778157002.474403,-6.065278136,-0.142066737,0.000000000,,,,,
1778157002.474416,,,,1778157002.474307060,0.724953828,-0.833994241,-0.819111108,-0.336280821
1778157002.475392,-6.071842777,-0.113103929,0.000000000,,,,,
1778157002.475405,,,,1778157002.475297928,0.724120436,-0.840018189,-0.819444847,-0.336393032
1778157002.476305,-6.077427575,-0.088502366,0.000000000,,,,,
1778157002.476316,,,,1778157002.476191998,0.723375176,-0.845375885,-0.819741471,-0.336471054
1778157002.477384,-6.082386669,-0.066687954,0.000000000,,,,,
1778157002.477396,,,,1778157002.477266073,0.722448632,-0.851990505,-0.820107464,-0.336543577
1778157002.478358,-6.088522494,-0.039757906,0.000000000,,,,,
1778157002.478369,,,,1778157002.478258610,0.721597669,-0.858028888,-0.820441275,-0.336583008
1778157002.479309,-6.094115437,-0.015248562,0.000000000,,,,,
1778157002.479324,,,,1778157002.479192019,0.720825607,-0.863477826,-0.820742236,-0.336596642
1778157002.480269,-6.099154985,0.006806085,0.000000000,,,,,
1778157002.480281,,,,1778157002.480173588,0.719937507,-0.869705978,-0.821085945,-0.336589692
1778157002.481266,-6.104922200,0.031997915,0.000000000,,,,,
1778157002.481277,,,,1778157002.481170893,0.719062911,-0.875802488,-0.821422039,-0.336557738
1778157002.482314,-6.110564048,0.056603897,0.000000000,,,,,
1778157002.482331,,,,1778157002.482196093,0.718168662,-0.881997927,-0.821763213,-0.336500348
1778157002.483410,-6.116296492,0.081565190,0.000000000,,,,,
1778157002.483421,,,,1778157002.483294010,0.717184858,-0.888768240,-0.822135596,-0.336410061
1778157002.484397,-6.122565405,0.108813044,0.000000000,,,,,
1778157002.484409,,,,1778157002.484285355,0.716294288,-0.894861441,-0.822470284,-0.336301770
1778157002.485348,-6.128197610,0.133262533,0.000000000,,,,,
1778157002.485359,,,,1778157002.485241175,0.715443078,-0.900653219,-0.822788005,-0.336175823
1778157002.486305,-6.133546074,0.156451286,0.000000000,,,,,
1778157002.486315,,,,1778157002.486241102,0.714536371,-0.906786232,-0.823123995,-0.336019385
1778157002.487305,-6.139211269,0.180977476,0.000000000,,,,,
1778157002.487316,,,,1778157002.487250566,0.713617439,-0.912965563,-0.823462027,-0.335837225
1778157002.488333,-6.144917437,0.205647932,0.000000000,,,,,
1778157002.488343,,,,1778157002.488241911,0.712703899,-0.919073488,-0.823795640,-0.335632815
1778157002.489342,-6.150554534,0.229989351,0.000000000,,,,,
1778157002.489354,,,,1778157002.489254713,0.711759502,-0.925350633,-0.824137941,-0.335398092
1778157002.490254,-6.156347194,0.254969978,0.000000000,,,,,
1778157002.490268,,,,1778157002.490193129,0.710928406,-0.930847260,-0.824437194,-0.335170445
1778157002.491244,-6.161409821,0.276783917,0.000000000,,,,,
1778157002.491259,,,,1778157002.491163731,0.709994397,-0.936989070,-0.824771023,-0.334894541
1778157002.492301,-6.167071357,0.301146324,0.000000000,,,,,
1778157002.492313,,,,1778157002.492203951,0.709019369,-0.943363145,-0.825116837,-0.334583287
1778157002.493317,-6.172946823,0.326399017,0.000000000,,,,,
1778157002.493331,,,,1778157002.493243933,0.708045792,-0.949691348,-0.825459493,-0.334248679
1778157002.494277,-6.178776566,0.351428552,0.000000000,,,,,
1778157002.494295,,,,1778157002.494172096,0.707143844,-0.955523687,-0.825774687,-0.333916954
1778157002.495350,-6.184141775,0.374444992,0.000000000,,,,,
1778157002.495379,,,,1778157002.495226145,0.706170389,-0.961782879,-0.826112273,-0.333537965
1778157002.496237,-6.189901497,0.399126910,0.000000000,,,,,
1778157002.496251,,,,1778157002.496164799,0.705215213,-0.967891458,-0.826441040,-0.333144082
1778157002.497309,-6.195518037,0.423174580,0.000000000,,,,,
1778157002.497323,,,,1778157002.497186899,0.704213533,-0.974261336,-0.826783113,-0.332708998
1778157002.498256,-6.201374532,0.448225418,0.000000000,,,,,
1778157002.498307,,,,1778157002.498192072,0.703234615,-0.980453006,-0.827114854,-0.332261474
1778157002.499399,-6.207061991,0.472534529,0.000000000,,,,,
1778157002.499411,,,,1778157002.499310017,0.702118291,-0.987470021,-0.827489868,-0.331727279
1778157002.500453,-6.213513665,0.500079435,0.000000000,,,,,
1778157002.500464,,,,1778157002.500359774,0.701068015,-0.994035083,-0.827839806,-0.331198906
1778157002.501341,-6.219540552,0.525794525,0.000000000,,,,,
1778157002.501353,,,,1778157002.501251221,0.700188700,-0.999506717,-0.828130771,-0.330736339
1778157002.502327,-6.224550238,0.547163645,0.000000000,,,,,
1778157002.502338,,,,1778157002.502241135,0.699187621,-1.005702653,-0.828459444,-0.330191690
1778157002.503236,-6.230227523,0.571360090,0.000000000,,,,,
1778157002.503247,,,,1778157002.503147840,0.698270235,-1.011354012,-0.828758487,-0.329673417
1778157002.504368,-6.235397280,0.593385312,0.000000000,,,,,
1778157002.504384,,,,1778157002.504261017,0.697131379,-1.018327424,-0.829126438,-0.329009799
1778157002.505245,-6.241787987,0.620585117,0.000000000,,,,,
1778157002.505257,,,,1778157002.505153179,0.696231639,-1.023812789,-0.829415097,-0.328464421
1778157002.506284,-6.246797373,0.641906147,0.000000000,,,,,
1778157002.506301,,,,1778157002.506165504,0.695199759,-1.030070562,-0.829743494,-0.327821387
1778157002.507338,-6.252516649,0.666232018,0.000000000,,,,,
1778157002.507364,,,,1778157002.507266045,0.694057433,-1.036958409,-0.830103818,-0.327087458
1778157002.508422,-6.258814281,0.693000915,0.000000000,,,,,
1778157002.508434,,,,1778157002.508303404,0.692951219,-1.043592784,-0.830449753,-0.326352873
1778157002.509421,-6.264872164,0.718743251,0.000000000,,,,,
1778157002.509432,,,,1778157002.509303093,0.691901981,-1.049853978,-0.830775197,-0.325634552
1778157002.510372,-6.270580608,0.742996272,0.000000000,,,,,
1778157002.510383,,,,1778157002.510257959,0.690893656,-1.055842358,-0.831085499,-0.324924994
1778157002.511450,-6.276033201,0.766158713,0.000000000,,,,,
1778157002.511462,,,,1778157002.511301994,0.689786348,-1.062383779,-0.831423331,-0.324126437
1778157002.512276,-6.281990537,0.791455477,0.000000000,,,,,
1778157002.512296,,,,1778157002.512174845,0.688853578,-1.067871010,-0.831705847,-0.323435112
1778157002.513259,-6.286973862,0.812620500,0.000000000,,,,,
1778157002.513270,,,,1778157002.513170719,0.687780519,-1.074151590,-0.832028142,-0.322623318
1778157002.514266,-6.292681452,0.836852669,0.000000000,,,,,
1778157002.514281,,,,1778157002.514187813,0.686693912,-1.080479957,-0.832351749,-0.321781719
1778157002.515322,-6.298427719,0.861247062,0.000000000,,,,,
1778157002.515334,,,,1778157002.515223265,0.685638327,-1.086598615,-0.832663534,-0.320945054
1778157002.516379,-6.303976245,0.884803215,0.000000000,,,,,
1778157002.516390,,,,1778157002.516256094,0.684446283,-1.093470876,-0.833012359,-0.319980488
1778157002.517367,-6.310210664,0.911265603,0.000000000,,,,,
1778157002.517378,,,,1778157002.517250299,0.683348542,-1.099769444,-0.833330842,-0.319070904
1778157002.518340,-6.315912563,0.935474293,0.000000000,,,,,
1778157002.518351,,,,1778157002.518247604,0.682239951,-1.106099587,-0.833649692,-0.318133322
1778157002.519373,-6.321637514,0.959783767,0.000000000,,,,,
1778157002.519383,,,,1778157002.519248009,0.681127506,-1.112421357,-0.833966872,-0.317173518
1778157002.520339,-6.327348779,0.984039532,0.000000000,,,,,
1778157002.520350,,,,1778157002.520250320,0.680011339,-1.118734185,-0.834282338,-0.316191737
1778157002.521309,-6.333045709,1.008239976,0.000000000,,,,,
1778157002.521320,,,,1778157002.521239758,0.678889185,-1.125050923,-0.834596712,-0.315186093
1778157002.522288,-6.338739893,1.032435367,0.000000000,,,,,
1778157002.522299,,,,1778157002.522231340,0.677780005,-1.131265911,-0.834904753,-0.314173814
1778157002.523251,-6.344334984,1.056218106,0.000000000,,,,,
1778157002.523267,,,,1778157002.523174286,0.676721463,-1.137171567,-0.835196288,-0.313190628
1778157002.524278,-6.349642637,1.078789325,0.000000000,,,,,
1778157002.524295,,,,1778157002.524198294,0.675572076,-1.143553599,-0.835509986,-0.312106336
1778157002.525222,-6.355376836,1.103180535,0.000000000,,,,,
1778157002.525251,,,,1778157002.525159121,0.674428653,-1.149873329,-0.835819251,-0.311009343
1778157002.526220,-6.361047404,1.127312821,0.000000000,,,,,
1778157002.526232,,,,1778157002.526149035,0.673278975,-1.156198500,-0.836127392,-0.309888388
1778157002.527297,-6.366715776,1.151448078,0.000000000,,,,,
1778157002.527309,,,,1778157002.527164221,0.672109633,-1.162602124,-0.836437912,-0.308730265
1778157002.528408,-6.372447836,1.175867657,0.000000000,,,,,
1778157002.528422,,,,1778157002.528195381,0.670932940,-1.169016419,-0.836747478,-0.307546676
1778157002.529303,-6.378181863,1.200310621,0.000000000,,,,,
1778157002.529314,,,,1778157002.529240370,0.669668991,-1.175872346,-0.837076674,-0.306256458
1778157002.530380,-6.384306916,1.226434737,0.000000000,,,,,
1778157002.530395,,,,1778157002.530253887,0.668478998,-1.182298209,-0.837383681,-0.305022041
1778157002.531431,-6.390034795,1.250886505,0.000000000,,,,,
1778157002.531446,,,,1778157002.531311035,0.667195985,-1.189192379,-0.837711312,-0.303672467
1778157002.532452,-6.396176150,1.277120326,0.000000000,,,,,
1778157002.532467,,,,1778157002.532302380,0.666010433,-1.195535147,-0.838011193,-0.302406010
1778157002.533399,-6.401811924,1.301219270,0.000000000,,,,,
1778157002.533415,,,,1778157002.533302307,0.664811228,-1.201922484,-0.838311620,-0.301107733
1778157002.534386,-6.407479232,1.325473670,0.000000000,,,,,
1778157002.534401,,,,1778157002.534282207,0.663638290,-1.208143250,-0.838602704,-0.299820884
1778157002.535259,-6.412988655,1.349075011,0.000000000,,,,,
1778157002.535276,,,,1778157002.535187721,0.662541956,-1.213934974,-0.838872379,-0.298602502
1778157002.536223,-6.418106486,1.371021840,0.000000000,,,,,
1778157002.536276,,,,1778157002.536156416,0.661362228,-1.220140506,-0.839159810,-0.297276890
1778157002.537762,-6.423585885,1.394538249,0.000000000,,,,,
1778157002.537805,,,,1778157002.537502766,0.659893305,-1.227825434,-0.839513464,-0.295608518
1778157002.538707,-6.430377740,1.423706715,0.000000000,,,,,
1778157002.538749,,,,1778157002.538448334,0.658727129,-1.233902861,-0.839791575,-0.294262956
1778157002.539808,-6.435723235,1.446703490,0.000000000,,,,,
1778157002.539872,,,,1778157002.539471388,0.657558366,-1.239969006,-0.840067655,-0.292899331
1778157002.540742,-6.441049974,1.469645000,0.000000000,,,,,
1778157002.540917,,,,1778157002.540501356,0.656305614,-1.246442661,-0.840360552,-0.291422247
1778157002.541705,-6.446728973,1.494129359,0.000000000,,,,,
1778157002.541755,,,,1778157002.541533232,0.654994957,-1.253185043,-0.840663705,-0.289859595
1778157002.542629,-6.452635568,1.519625877,0.000000000,,,,,
1778157002.542665,,,,1778157002.542399645,0.653827336,-1.259168540,-0.840931184,-0.288450454
1778157002.543675,-6.457860445,1.542214936,0.000000000,,,,,
1778157002.543713,,,,1778157002.543457031,0.652522257,-1.265826652,-0.841226939,-0.286860416
1778157002.544812,-6.463670786,1.567363194,0.000000000,,,,,
1778157002.544869,,,,1778157002.544583559,0.651247089,-1.272304873,-0.841512871,-0.285289525
1778157002.545623,-6.469311087,1.591812375,0.000000000,,,,,
1778157002.545659,,,,1778157002.545403719,0.650011269,-1.278557934,-0.841787137,-0.283750922
1778157002.546788,-6.474742465,1.615392005,0.000000000,,,,,
1778157002.546847,,,,1778157002.546461105,0.648622536,-1.285552352,-0.842091777,-0.282005875
1778157002.547712,-6.480813389,1.641782663,0.000000000,,,,,
1778157002.547752,,,,1778157002.547467470,0.647339379,-1.291988863,-0.842370236,-0.280375316
1778157002.548734,-6.486382296,1.666035477,0.000000000,,,,,
1778157002.548774,,,,1778157002.548505068,0.646122249,-1.298070787,-0.842631664,-0.278813166
1778157002.549655,-6.491630238,1.688929424,0.000000000,,,,,
1778157002.549693,,,,1778157002.549418449,0.644836668,-1.304468425,-0.842904800,-0.277148691
1778157002.550698,-6.497142331,1.713012074,0.000000000,,,,,
